time,Actual Movement,close,Predictions,Predicted
2020-12-16,1,1.22001,0.50217205,-1
2020-12-17,-1,1.22708,0.5020435,-1
2020-12-18,-1,1.22541,0.50201315,-1
2020-12-21,-1,1.22348,0.5018853,-1
2020-12-22,1,1.21648,0.5018148,-1
2020-12-23,1,1.2182,0.50184095,-1
2020-12-24,1,1.21845,0.5018772,-1
2020-12-25,1,1.21959,0.5019615,-1
2020-12-28,1,1.22135,0.50206876,-1
2020-12-29,1,1.22511,0.5021477,-1
2020-12-30,-1,1.22994,0.5020525,-1
2020-12-31,1,1.22178,0.50205636,-1
2021-01-04,1,1.22506,0.5020359,-1
2021-01-05,1,1.22963,0.50188774,-1
2021-01-06,-1,1.23269,0.50178427,-1
2021-01-07,-1,1.22696,0.5017604,-1
2021-01-08,-1,1.22219,0.5019016,-1
2021-01-11,1,1.21511,0.5020093,-1
2021-01-12,-1,1.22072,0.502226,-1
2021-01-13,-1,1.21561,0.5022709,-1
2021-01-14,-1,1.21541,0.50250727,-1
2021-01-15,1,1.20771,0.50254524,-1
2021-01-18,1,1.20782,0.50255114,-1
2021-01-19,-1,1.21282,0.5024577,-1
2021-01-20,1,1.21056,0.5024098,-1
2021-01-21,1,1.21697,0.50266224,-1
2021-01-22,-1,1.21707,0.50253934,-1
2021-01-25,1,1.21416,0.502504,-1
2021-01-26,-1,1.21617,0.50252557,-1
2021-01-27,1,1.21115,0.50268584,-1
2021-01-28,1,1.21217,0.5029479,-1
2021-01-29,-1,1.21356,0.50318515,-1
2021-02-01,-1,1.206,0.50324696,-1
2021-02-02,-1,1.20432,0.50350183,-1
2021-02-03,-1,1.20352,0.5035747,-1
2021-02-04,1,1.19623,0.5037111,-1
2021-02-05,1,1.20495,0.503772,-1
2021-02-08,1,1.20503,0.5035294,-1
2021-02-09,-1,1.21201,0.50348645,-1
2021-02-10,1,1.21177,0.5032178,-1
2021-02-11,-1,1.21324,0.5031223,-1
2021-02-12,1,1.21191,0.5030306,-1
2021-02-15,-1,1.21267,0.5029689,-1
2021-02-16,-1,1.21055,0.5029922,-1
2021-02-17,1,1.20418,0.50298244,-1
2021-02-18,1,1.2092,0.50307983,-1
2021-02-19,1,1.21176,0.50319797,-1
2021-02-22,-1,1.21562,0.5032911,-1
2021-02-23,1,1.21484,0.50329465,-1
2021-02-24,1,1.21701,0.5032244,-1
2021-02-25,-1,1.21733,0.5028091,-1
2021-02-26,-1,1.20726,0.5025555,-1
2021-03-01,1,1.20486,0.5023976,-1
2021-03-02,-1,1.20894,0.5023479,-1
2021-03-03,-1,1.20627,0.50232166,-1
2021-03-04,-1,1.19728,0.50250316,-1
2021-03-05,-1,1.19123,0.50266474,-1
2021-03-08,1,1.18451,0.5028232,-1
2021-03-09,1,1.18996,0.5030183,-1
2021-03-10,1,1.19281,0.50288785,-1
2021-03-11,-1,1.19855,0.50284916,-1
2021-03-12,-1,1.19521,0.5027254,-1
2021-03-15,-1,1.19307,0.5027456,-1
2021-03-16,1,1.19028,0.50271636,-1
2021-03-17,-1,1.19807,0.5028596,-1
2021-03-18,-1,1.19175,0.50317305,-1
2021-03-19,1,1.19046,0.5035409,-1
2021-03-22,-1,1.19347,0.5036186,-1
2021-03-23,-1,1.18486,0.5037281,-1
2021-03-24,-1,1.18108,0.50398946,-1
2021-03-25,1,1.1766,0.50410897,-1
2021-03-26,-1,1.17935,0.5041348,-1
2021-03-29,-1,1.17648,0.5039935,-1
2021-03-30,1,1.17177,0.5039197,-1
2021-03-31,1,1.17293,0.5038236,-1
2021-04-01,-1,1.17769,0.5038376,-1
2021-04-02,1,1.17614,0.5038451,-1
2021-04-05,1,1.18121,0.50391966,-1
2021-04-06,-1,1.18743,0.50374115,-1
2021-04-07,1,1.18701,0.50374615,-1
2021-04-08,-1,1.19159,0.5037477,-1
2021-04-09,1,1.19009,0.50363725,-1
2021-04-12,1,1.19103,0.5037641,-1
