,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
273,2024-02-07 23:00:00,hold,long,,,,10049.998999999998,-20.633199999999817,-9.593199999999657
274,2024-02-08 00:00:00,hold,long,,,,10049.998999999998,-1.1301999999999643,-0.5901999999999794
275,2024-02-08 01:00:00,hold,long,,,,10049.998999999998,-2.0403999999999307,-1.0203999999999098
276,2024-02-08 02:00:00,hold,long,,,,10049.998999999998,-2.6805999999999046,-1.3305999999999423
277,2024-02-08 03:00:00,hold,long,,,,10049.998999999998,-3.5007999999998365,-1.8507999999999072
278,2024-02-08 04:00:00,hold,long,,,,10049.998999999998,-4.250999999999864,-2.1609999999999396
279,2024-02-08 05:00:00,hold,long,,,,10049.998999999998,-4.661199999999885,-2.3811999999999376
280,2024-02-08 06:00:00,hold,long,,,,10049.998999999998,-4.981399999999873,-2.471399999999972
281,2024-02-08 07:00:00,hold,long,,,,10049.998999999998,-5.331599999999835,-2.5215999999999665
282,2024-02-08 08:00:00,hold,long,,,,10049.998999999998,-5.601799999999827,-2.391800000000003
283,2024-02-08 09:00:00,hold,long,,,,10049.998999999998,-5.821999999999825,-2.211999999999934
284,2024-02-08 10:00:00,hold,long,,,,10049.998999999998,-6.522199999999859,-2.0621999999999505
285,2024-02-08 11:00:00,hold,long,,,,10049.998999999998,-7.102399999999884,-2.0223999999999105
286,2024-02-08 12:00:00,hold,long,,,,10049.998999999998,-7.502599999999839,-1.972599999999916
287,2024-02-08 13:00:00,hold,long,,,,10049.998999999998,-7.862799999999867,-1.55279999999994
288,2024-02-08 14:00:00,hold,long,,,,10049.998999999998,-8.082999999999865,-1.2829999999999475
289,2024-02-08 15:00:00,hold,long,,,,10049.998999999998,-8.273199999999889,-0.6231999999999536
290,2024-02-08 16:00:00,hold,long,,,,10049.998999999998,-8.76339999999988,-0.0033999999998886032
291,2024-02-08 17:00:00,hold,long,,,,10049.998999999998,-8.993599999999832,0.5564000000001164
292,2024-02-08 18:00:00,hold,long,,,,10049.998999999998,-9.443799999999783,0.6462000000001509
293,2024-02-08 19:00:00,hold,long,,,,10049.998999999998,-9.613999999999786,0.9360000000001634
294,2024-02-08 20:00:00,hold,long,,,,10049.998999999998,-9.794199999999744,1.4758000000001483
295,2024-02-08 21:00:00,hold,long,,,,10049.998999999998,-9.774399999999725,1.9156000000001443
296,2024-02-08 22:00:00,hold,long,,,,10049.998999999998,-9.56459999999968,2.3154000000002113
297,2024-02-08 23:00:00,hold,long,,,,10049.998999999998,-9.404799999999632,2.6652000000001728
298,2024-02-09 00:00:00,hold,long,,,,10049.998999999998,-0.0702000000000145,0.43979999999999597
299,2024-02-09 01:00:00,hold,long,,,,10049.998999999998,-0.010399999999954494,0.719600000000054
300,2024-02-09 02:00:00,hold,long,,,,10049.998999999998,0.11940000000000897,1.039400000000041
301,2024-02-09 03:00:00,hold,long,,,,10049.998999999998,0.12920000000007448,1.319200000000099
302,2024-02-09 04:00:00,hold,long,,,,10049.998999999998,0.11900000000011998,1.5290000000001425
303,2024-02-09 05:00:00,hold,long,,,,10049.998999999998,0.06880000000012548,1.698800000000146
304,2024-02-09 06:00:00,hold,long,,,,10049.998999999998,0.01860000000013099,1.8486000000001295
305,2024-02-09 07:00:00,hold,long,,,,10049.998999999998,-0.161599999999827,1.9084000000001895
306,2024-02-09 09:00:00,hold,long,,,,10049.998999999998,-0.9419999999997188,2.1280000000002985
307,2024-02-09 10:00:00,hold,long,,,,10049.998999999998,-1.4821999999997038,2.3678000000003165
308,2024-02-09 11:00:00,hold,long,,,,10049.998999999998,-1.5323999999996982,2.8676000000003725
309,2024-02-09 12:00:00,hold,long,,,,10049.998999999998,-1.6825999999996817,3.497400000000392
310,2024-02-09 13:00:00,hold,long,,,,10049.998999999998,-1.5727999999996272,4.257200000000375
311,2024-02-09 14:00:00,hold,long,,,,10049.998999999998,-1.4129999999995781,5.097000000000438
312,2024-02-09 15:00:00,hold,long,,,,10049.998999999998,-1.0431999999995967,6.026800000000424
313,2024-02-09 16:00:00,hold,long,,,,10049.998999999998,-1.513399999999567,6.746600000000479
314,2024-02-09 17:00:00,hold,long,,,,10049.998999999998,-2.093599999999592,6.876400000000442
315,2024-02-09 18:00:00,hold,long,,,,10049.998999999998,-2.4037999999996242,7.01620000000047
316,2024-02-09 19:00:00,hold,long,,,,10049.998999999998,-2.463999999999573,7.346000000000522
317,2024-02-09 20:00:00,hold,long,,,,10049.998999999998,-2.6941999999995256,7.655800000000555
318,2024-02-09 21:00:00,hold,long,,,,10049.998999999998,-2.984399999999538,7.745600000000589
319,2024-02-09 22:00:00,hold,long,,,,10049.998999999998,-3.1145999999995015,7.945400000000567
320,2024-02-09 23:00:00,hold,long,,,,10049.998999999998,-3.184799999999516,8.15520000000061
321,2024-02-12 01:00:00,hold,long,,,,10049.998999999998,-0.5203999999999649,0.939600000000052
322,2024-02-12 02:00:00,hold,long,,,,10049.998999999998,-0.2205999999999979,1.619400000000066
323,2024-02-12 03:00:00,hold,long,,,,10049.998999999998,0.11920000000000908,2.2892000000001254
324,2024-02-12 04:00:00,hold,long,,,,10049.998999999998,0.5290000000000306,3.0690000000001283
325,2024-02-12 05:00:00,hold,long,,,,10049.998999999998,1.19880000000009,3.96880000000014
326,2024-02-12 06:00:00,hold,long,,,,10049.998999999998,1.6686000000000605,4.738600000000188
327,2024-02-12 07:00:00,hold,long,,,,10049.998999999998,2.25840000000004,5.478400000000152
328,2024-02-12 08:00:00,hold,long,,,,10049.998999999998,2.7882000000000704,6.278200000000174
329,2024-02-12 09:00:00,hold,long,,,,10049.998999999998,2.758000000000096,6.948000000000233
330,2024-02-12 10:00:00,hold,long,,,,10049.998999999998,2.177800000000071,7.447800000000289
331,2024-02-12 11:00:00,hold,long,,,,10049.998999999998,1.4476000000000626,7.357600000000254
332,2024-02-12 12:00:00,hold,long,,,,10049.998999999998,0.7574000000000942,7.627400000000247
333,2024-02-12 13:00:00,hold,long,,,,10049.998999999998,0.3072000000001438,7.697200000000261
334,2024-02-12 14:00:00,hold,long,,,,10049.998999999998,-0.05299999999988314,7.967000000000253
335,2024-02-12 15:00:00,hold,long,,,,10049.998999999998,-0.45319999999983906,8.3468000000003
336,2024-02-12 16:00:00,hold,long,,,,10049.998999999998,-1.0433999999998185,8.316600000000326
337,2024-02-12 17:00:00,hold,long,,,,10049.998999999998,-2.0035999999997793,8.086400000000374
338,2024-02-12 18:00:00,hold,long,,,,10049.998999999998,-2.94379999999972,7.886200000000396
339,2024-02-12 19:00:00,hold,long,,,,10049.998999999998,-3.9139999999997466,7.456000000000465
340,2024-02-12 20:00:00,hold,long,,,,10049.998999999998,-4.65419999999971,7.185800000000473
341,2024-02-12 21:00:00,hold,long,,,,10049.998999999998,-5.484399999999708,6.755600000000543
342,2024-02-12 22:00:00,hold,long,,,,10049.998999999998,-6.26459999999971,6.2154000000005585
343,2024-02-12 23:00:00,hold,long,,,,10049.998999999998,-7.174799999999676,5.615200000000625
344,2024-02-13 00:00:00,hold,long,,,,10049.998999999998,-0.9901999999999354,-0.6101999999999994
345,2024-02-13 01:00:00,hold,long,,,,10049.998999999998,-1.8403999999999527,-1.2203999999999988
346,2024-02-13 02:00:00,hold,long,,,,10049.998999999998,-2.6005999999999356,-1.6905999999999692
347,2024-02-13 03:00:00,hold,long,,,,10049.998999999998,-3.430799999999933,-2.1407999999999197
348,2024-02-13 04:00:00,hold,long,,,,10049.998999999998,-4.100999999999882,-2.430999999999932
349,2024-02-13 05:00:00,hold,long,,,,10049.998999999998,-4.77119999999983,-2.831199999999888
350,2024-02-13 06:00:00,hold,long,,,,10049.998999999998,-5.32139999999977,-3.151399999999875
351,2024-02-13 07:00:00,hold,long,,,,10049.998999999998,-5.83159999999978,-3.451599999999842
352,2024-02-13 08:00:00,hold,long,,,,10049.998999999998,-6.3817999999997195,-3.751799999999809
353,2024-02-13 09:00:00,hold,long,,,,10049.998999999998,-9.11199999999973,-4.151999999999765
354,2024-02-13 10:00:00,hold,long,,,,10049.998999999998,-11.72219999999973,-5.992199999999718
355,2024-02-13 11:00:00,hold,long,,,,10049.998999999998,-14.882399999999672,-8.07239999999969
356,2024-02-13 12:00:00,hold,long,,,,10049.998999999998,-18.40259999999964,-10.892599999999623
357,2024-02-13 13:00:00,hold,long,,,,10049.998999999998,-21.992799999999622,-13.742799999999642
358,2024-02-13 14:00:00,hold,long,,,,10049.998999999998,-25.092999999999613,-16.22299999999968
359,2024-02-13 16:00:00,hold,long,,,,10049.998999999998,-32.65339999999962,-20.38339999999962
360,2024-02-13 17:00:00,hold,long,,,,10049.998999999998,-36.103599999999574,-22.523599999999654
361,2024-02-13 18:00:00,hold,long,,,,10049.998999999998,-39.72379999999953,-25.32379999999968
362,2024-02-13 19:00:00,hold,long,,,,10049.998999999998,-43.45399999999954,-28.50399999999964
363,2024-02-13 20:00:00,hold,long,,,,10049.998999999998,-46.844199999999546,-31.184199999999656
364,2024-02-13 21:00:00,close,neutral,,,-50.0,9999.998799999998,-50.08439999999957,-33.89439999999965
365,2024-02-14 00:00:00,open,short,0.85019,,,9999.998599999997,0.0,0.0
366,2024-02-14 01:00:00,hold,short,,,,9999.998599999997,-0.5201999999999649,0.019800000000020003
367,2024-02-14 02:00:00,hold,short,,,,9999.998599999997,-0.9603999999999608,-0.1704000000000035
368,2024-02-14 03:00:00,hold,short,,,,9999.998599999997,-1.4505999999999513,-0.180599999999958
369,2024-02-14 04:00:00,hold,short,,,,9999.998599999997,-1.7207999999999437,-0.2507999999999725
370,2024-02-14 05:00:00,hold,short,,,,9999.998599999997,-1.8809999999999927,-0.06099999999994901
371,2024-02-14 06:00:00,hold,short,,,,9999.998599999997,-1.9212000000000327,0.20880000000004348
372,2024-02-14 07:00:00,hold,short,,,,9999.998599999997,-1.9714000000000271,0.42860000000004145
373,2024-02-14 08:00:00,hold,short,,,,9999.998599999997,-2.131600000000076,0.8283999999999974
374,2024-02-14 09:00:00,hold,short,,,,9999.998599999997,-4.601800000000049,0.9982000000000009
375,2024-02-14 10:00:00,hold,short,,,,9999.998599999997,-7.542000000000103,-0.8720000000000374
376,2024-02-14 11:00:00,hold,short,,,,9999.998599999997,-10.842200000000073,-2.9122000000000794
377,2024-02-14 12:00:00,hold,short,,,,9999.998599999997,-14.142400000000043,-5.512400000000126
