,time,Actual Movement,Predictions,Predicted,close,close_price_next
252,2020-08-11,1,0.5031614,1,1.21759,1.22259
253,2020-08-12,-1,0.50306076,1,1.22259,1.21806
254,2020-08-13,1,0.50313246,1,1.21806,1.22158
255,2020-08-14,1,0.5032353,1,1.22158,1.22493
256,2020-08-17,-1,0.5034429,1,1.22493,1.21924
257,2020-08-18,1,0.5035332,1,1.21924,1.2193
258,2020-08-19,-1,0.5031048,1,1.2193,1.21895
259,2020-08-20,1,0.5028089,1,1.21895,1.22256
260,2020-08-21,-1,0.5022608,1,1.22256,1.2212
261,2020-08-24,-1,0.5020296,1,1.2212,1.22098
262,2020-08-25,-1,0.5019771,1,1.22098,1.21279
263,2020-08-26,1,0.5019916,1,1.21279,1.21662
264,2020-08-27,1,0.5019658,1,1.21662,1.21904
265,2020-08-28,-1,0.50233096,1,1.21904,1.21729
266,2020-08-31,1,0.50257593,1,1.21729,1.21792
267,2020-09-01,-1,0.5025122,1,1.21792,1.21762
268,2020-09-02,-1,0.5021295,1,1.21762,1.21063
269,2020-09-03,1,0.5017256,1,1.21063,1.21186
270,2020-09-04,1,0.5012502,1,1.21186,1.21263
271,2020-09-07,-1,0.50092036,1,1.21263,1.19973
272,2020-09-08,-1,0.5006564,1,1.19973,1.19067
273,2020-09-09,-1,0.5005681,1,1.19067,1.18597
274,2020-09-10,1,0.50054675,1,1.18597,1.19184
275,2020-09-11,1,0.5007843,1,1.19184,1.1941
276,2020-09-14,-1,0.50104254,1,1.1941,1.19277
277,2020-09-15,1,0.50107783,1,1.19277,1.19313
278,2020-09-16,1,0.50097615,1,1.19313,1.19373
279,2020-09-17,-1,0.50107354,1,1.19373,1.1923
280,2020-09-18,-1,0.5009751,1,1.1923,1.18971
281,2020-09-21,-1,0.5006847,1,1.18971,1.186
282,2020-09-22,-1,0.5003941,1,1.186,1.18492
283,2020-09-23,1,0.5001231,1,1.18492,1.18646
284,2020-09-24,-1,0.50002855,1,1.18646,1.18619
285,2020-09-25,-1,0.50006837,1,1.18619,1.18221
286,2020-09-28,-1,0.50038517,1,1.18221,1.17914
287,2020-09-29,1,0.5006959,1,1.17914,1.18453
288,2020-09-30,1,0.50083816,1,1.18453,1.18774
289,2020-10-01,-1,0.5011867,1,1.18774,1.18607
290,2020-10-02,-1,0.501356,1,1.18607,1.17768
291,2020-10-05,1,0.5017336,1,1.17768,1.18375
292,2020-10-06,-1,0.50163525,1,1.18375,1.18115
293,2020-10-07,-1,0.5019234,1,1.18115,1.18057
294,2020-10-08,-1,0.5020565,1,1.18057,1.18
295,2020-10-09,-1,0.50246984,1,1.18,1.17811
296,2020-10-12,1,0.5025786,1,1.17811,1.17937
297,2020-10-13,-1,0.50241333,1,1.17937,1.17701
298,2020-10-14,-1,0.5021829,1,1.17701,1.17694
299,2020-10-15,1,0.50176924,1,1.17694,1.18026
300,2020-10-16,1,0.50163215,1,1.18026,1.18155
301,2020-10-19,1,0.5019019,1,1.18155,1.18438
302,2020-10-20,1,0.5023314,1,1.18438,1.18852
303,2020-10-21,-1,0.50277543,1,1.18852,1.18731
304,2020-10-22,-1,0.5029613,1,1.18731,1.18719
305,2020-10-23,-1,0.5030579,1,1.18719,1.1864
306,2020-10-26,-1,0.50271904,1,1.1864,1.18379
307,2020-10-27,-1,0.50236434,1,1.18379,1.18309
308,2020-10-28,-1,0.50170696,1,1.18309,1.17612
309,2020-10-29,-1,0.50116575,1,1.17612,1.17355
310,2020-10-30,-1,0.50064504,1,1.17355,1.17204
311,2020-11-02,1,0.50044835,1,1.17204,1.17405
312,2020-11-03,-1,0.5007393,1,1.17405,1.17341
313,2020-11-04,1,0.5010903,1,1.17341,1.17961
314,2020-11-05,-1,0.50183576,1,1.17961,1.17762
315,2020-11-06,-1,0.5024326,1,1.17762,1.17097
316,2020-11-09,1,0.5025605,1,1.17097,1.17106
317,2020-11-10,-1,0.50248253,1,1.17106,1.16779
318,2020-11-11,1,0.5022355,1,1.16779,1.16996
319,2020-11-12,1,0.5021885,1,1.16996,1.17444
320,2020-11-13,1,0.5023284,1,1.17444,1.17572
321,2020-11-16,1,0.5025992,1,1.17572,1.17724
322,2020-11-17,-1,0.50283706,1,1.17724,1.17517
323,2020-11-18,1,0.50299716,1,1.17517,1.17959
324,2020-11-19,1,0.5031301,1,1.17959,1.1797
325,2020-11-20,1,0.5031086,1,1.1797,1.1809
326,2020-11-23,1,0.503102,1,1.1809,1.18388
327,2020-11-24,1,0.50333816,1,1.18388,1.18757
328,2020-11-25,1,0.50349796,1,1.18757,1.18775
329,2020-11-26,-1,0.50364995,1,1.18775,1.18688
330,2020-11-27,-1,0.5037715,1,1.18688,1.18425
331,2020-11-30,-1,0.50357175,1,1.18425,1.18176
332,2020-12-01,1,0.50373137,1,1.18176,1.18231
333,2020-12-02,-1,0.5036888,1,1.18231,1.18109
334,2020-12-03,-1,0.5037016,1,1.18109,1.18107
335,2020-12-04,-1,0.50346196,1,1.18107,1.18046
336,2020-12-07,1,0.50324255,1,1.18046,1.18156
337,2020-12-08,-1,0.50299805,1,1.18156,1.17687
338,2020-12-09,-1,0.50280637,1,1.17687,1.17258
339,2020-12-10,1,0.5027944,1,1.17258,1.17278
340,2020-12-11,-1,0.50260746,1,1.17278,1.17254
341,2020-12-14,-1,0.5026976,1,1.17254,1.169
342,2020-12-15,1,0.50276476,1,1.169,1.17396
343,2020-12-16,-1,0.50289345,1,1.17396,1.17211
344,2020-12-17,-1,0.5030533,1,1.17211,1.16961
345,2020-12-18,-1,0.5029208,1,1.16961,1.16836
346,2020-12-21,-1,0.502569,1,1.16836,1.15961
347,2020-12-22,-1,0.5019906,1,1.15961,1.15757
348,2020-12-23,1,0.50164336,1,1.15757,1.15931
349,2020-12-24,1,0.5014645,1,1.15931,1.16194
350,2020-12-25,-1,0.50157994,1,1.16194,1.15974
351,2020-12-28,-1,0.5017744,1,1.15974,1.15573
352,2020-12-29,-1,0.502069,1,1.15573,1.15532
353,2020-12-30,1,0.50219357,1,1.15532,1.1574
354,2020-12-31,-1,0.50190127,1,1.1574,1.1554
355,2021-01-04,-1,0.50191426,1,1.1554,1.15305
356,2021-01-05,1,0.50195473,1,1.15305,1.15952
357,2021-01-06,1,0.5019578,1,1.15952,1.15972
358,2021-01-07,1,0.50176615,1,1.15972,1.15984
359,2021-01-08,1,0.50135714,1,1.15984,1.16113
360,2021-01-11,1,0.500936,1,1.16113,1.16324
361,2021-01-12,1,0.5007057,1,1.16324,1.16503
362,2021-01-13,-1,0.500513,1,1.16503,1.16229
363,2021-01-14,1,0.5004742,1,1.16229,1.1644
364,2021-01-15,-1,0.50023973,1,1.1644,1.16102
365,2021-01-18,-1,0.5002473,1,1.16102,1.15974
366,2021-01-19,1,0.5003358,1,1.15974,1.1603
367,2021-01-20,1,0.5003793,1,1.1603,1.16845
368,2021-01-21,-1,0.50062263,1,1.16845,1.15623
369,2021-01-22,1,0.5008744,1,1.15623,1.16071
