,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
729,2024-03-04 09:00:00,0.65099,0.65108,0.64927,0.64974,2332,8,0,0.65132,0.64927,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.65083,0.65108,True,False,True,False,False,False
730,2024-03-04 10:00:00,0.64974,0.65051,0.64956,0.6501,2884,8,0,0.65132,0.64927,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.64956,0.65051,True,False,False,False,False,False
731,2024-03-04 11:00:00,0.6501,0.65072,0.64993,0.65066,2289,8,0,0.65132,0.64927,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.64993,0.65072,True,False,False,False,False,False
732,2024-03-04 12:00:00,0.65066,0.65152,0.65066,0.65131,2144,8,0,0.65152,0.64927,True,False,True,False,1.0,4.0,4.0,1.0,False,False,True,0.65066,0.65072,True,True,False,True,False,False
733,2024-03-04 13:00:00,0.65131,0.65177,0.65118,0.65141,1611,9,0,0.65177,0.64927,True,False,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65118,0.65072,True,True,False,True,False,False
734,2024-03-04 14:00:00,0.65141,0.6523,0.65139,0.65212,1869,8,0,0.6523,0.64956,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,0.65139,0.65072,False,True,False,True,False,False
735,2024-03-04 15:00:00,0.65212,0.65287,0.65179,0.65187,2804,8,0,0.65287,0.64993,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,0.65179,0.65072,False,True,False,True,False,False
736,2024-03-04 16:00:00,0.65186,0.65266,0.6517,0.65192,3150,9,0,0.65287,0.65066,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,0.6517,0.65266,False,True,False,False,False,False
737,2024-03-04 17:00:00,0.65191,0.6529,0.65184,0.65233,3210,9,0,0.6529,0.65118,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,0.65184,0.65266,False,True,False,True,False,False
738,2024-03-04 18:00:00,0.65234,0.65244,0.65166,0.65174,2728,9,0,0.6529,0.65139,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,0.65166,0.65244,False,True,False,False,False,False
739,2024-03-04 19:00:00,0.65174,0.65215,0.65148,0.65158,2306,9,0,0.6529,0.65148,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65148,0.65215,False,True,False,False,False,False
740,2024-03-04 20:00:00,0.65159,0.65178,0.65122,0.65174,1875,9,0,0.6529,0.65122,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,0.65148,0.65178,True,True,True,False,False,False
