,current_price,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
1270,1.26798,2024-04-09 14:00:00,hold,short,,,,11599.96579999993,-19.292999999999584,-5.43299999999938
1271,1.26965,2024-04-09 15:00:00,hold,short,,,,11599.96579999993,-24.433199999999506,-8.023199999999472
1272,1.26972,2024-04-09 16:00:00,hold,short,,,,11599.96579999993,-30.17339999999936,-12.083399999999425
1273,1.26742,2024-04-09 17:00:00,hold,short,,,,11599.96579999993,-35.28359999999931,-14.183599999999416
1274,1.26721,2024-04-09 18:00:00,hold,short,,,,11599.96579999993,-37.94379999999919,-15.623799999999301
1275,1.26694,2024-04-09 19:00:00,hold,short,,,,11599.96579999993,-40.163999999999085,-17.27399999999923
1276,1.26664,2024-04-09 20:00:00,hold,short,,,,11599.96579999993,-42.044199999998966,-18.41419999999915
1277,1.26699,2024-04-09 21:00:00,hold,short,,,,11599.96579999993,-44.00439999999893,-19.564399999999132
1278,1.26752,2024-04-09 22:00:00,hold,short,,,,11599.96579999993,-46.34459999999894,-20.62459999999897
1279,1.26779,2024-04-09 23:00:00,hold,short,,,,11599.96579999993,-49.12479999999895,-22.84479999999886
1280,1.26765,2024-04-10 00:00:00,hold,short,,,,11599.96579999993,-2.650200000000041,-1.4602000000000168
1281,1.26759,2024-04-10 01:00:00,hold,short,,,,11599.96579999993,-5.140399999999922,-3.810399999999869
1282,1.2677,2024-04-10 02:00:00,hold,short,,,,11599.96579999993,-7.7005999999998185,-6.090599999999707
1283,1.26749,2024-04-10 03:00:00,hold,short,,,,11599.96579999993,-10.260799999999714,-8.210799999999606
1284,1.2674699999999999,2024-04-10 04:00:00,hold,short,,,,11599.96579999993,-12.880999999999558,-9.8709999999996
1285,1.26768,2024-04-10 05:00:00,hold,short,,,,11599.96579999993,-15.541199999999442,-11.831199999999562
1286,1.26762,2024-04-10 06:00:00,hold,short,,,,11599.96579999993,-18.181399999999417,-14.081399999999647
1287,1.26773,2024-04-10 07:00:00,hold,short,,,,11599.96579999993,-20.741599999999313,-16.261599999999717
1288,1.2674400000000001,2024-04-10 08:00:00,hold,short,,,,11599.96579999993,-23.51179999999925,-18.4617999999997
1289,1.26817,2024-04-10 09:00:00,hold,short,,,,11599.96579999993,-26.631999999999262,-20.541999999999558
1290,1.26884,2024-04-10 10:00:00,hold,short,,,,11599.96579999993,-30.362199999999273,-22.962199999999424
1291,1.26943,2024-04-10 11:00:00,hold,short,,,,11599.96579999993,-34.63239999999927,-26.102399999999346
1292,1.26962,2024-04-10 12:00:00,hold,short,,,,11599.96579999993,-39.19259999999917,-29.73259999999937
