time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2010-12-22,5.98496,6.0149,5.9562,5.98708,43620,88,53766500000,5.937255,6.0959161,5.978799189181279,6.0342795835187255,5.980040146532158,5.986790027485582,6.022149000000001,6.185093096290852,5.859204903709149,5.9215053288324055,5.975104166666665,6.028703004500925,-0.000738393363580947,0.006995132828423309,50.0,54.19,43.82571742500619,36.77632622525456,5.98347,0.06033288376143808,0.008524208752858087,1
2010-12-23,5.98614,6.0065,5.94847,5.97118,38312,40,45091000000,5.9409952,6.096677100000001,5.97850039744868,6.0336517269663,5.978268117225727,5.985370934077801,6.0163505,6.177877060970765,5.8548239390292345,5.920281823311194,5.972794166666667,6.02530651002214,-0.0016840306700665053,0.005259300128725347,46.83,45.56,50.24326869879068,43.3685357875163,5.98708,-0.26557186474874817,0.06033288376143808,-1
2010-12-24,5.9703800000000005,5.9787,5.94865,5.9508,14497,112,17214700000,5.945317200000001,6.09733745,5.977414107352653,6.032827331673104,5.972774493780582,5.982228121888911,6.0074555,6.1627269957068505,5.852184004293149,5.917315904422174,5.968119166666667,6.01892242891116,-0.004031478352698237,0.0034011444324406302,42.91,36.3,51.47230366931412,48.51376326437035,5.97118,-0.34130607350640885,-0.26557186474874817,-1
2010-12-27,5.9655000000000005,5.98351,5.91716,5.94131,32139,40,34017000000,5.948353,6.097707850000001,5.975998260005491,6.031916711457452,5.966481595024466,5.978508292626282,5.996622,6.137984296614207,5.855259703385793,5.916888066734682,5.960945,6.0050019332653175,-0.006581741028803378,0.0014045673401918287,41.11,32.46,46.17672876231338,49.29743371013941,5.9508,-0.1594743563890666,-0.34130607350640885,-1
2010-12-28,5.94016,5.96669,5.8972999999999995,5.96203,44553,80,48325500000,5.9506212000000005,6.09796385,5.975450485103315,6.031221321293696,5.965591276019573,5.977010266023893,5.984419,6.088590007271905,5.880247992728095,5.917408010223754,5.957755833333334,5.998103656442913,-0.0068519269883866585,-0.0002467315255238688,46.62,47.59,44.68935921193789,47.44613054785515,5.94131,0.34874463712548653,-0.1594743563890666,1
2010-12-29,5.96244,5.97054,5.8841,5.91171,39436,63,41228000000,5.9501599999999994,6.097884199999999,5.972950858236518,6.030032153917639,5.954815020815659,5.971073878203539,5.973084500000001,6.05465045649561,5.891518543504391,5.914611964381882,5.956881666666667,5.999151368951452,-0.010999657560842202,-0.0023973167325875354,37.13,28.33,39.353489857782,43.4065259440111,5.96203,-0.844007829547988,0.34874463712548653,-1
2010-12-30,5.91202,5.91293,5.85599,5.88012,40419,57,42241500000,5.9512722,6.09758955,5.969310432423322,6.028540490694578,5.939876016652527,5.962805343821399,5.9630845,6.038517684070698,5.887651315929301,5.90936113614407,5.9557183333333334,6.002075530522597,-0.016643951797827405,-0.0052466437456355096,32.46,21.5,30.978472570558164,38.34044054675936,5.91171,-0.5343631538082927,-0.844007829547988,-1
2010-12-31,5.88005,5.886,5.7999,5.8012,32842,146,33921500000,5.9502854,6.096439749999999,5.962717866445938,6.026278396259806,5.912140813322022,5.948113948928545,5.9556995,6.059010151043559,5.852388848956441,5.863343886826997,5.9419241666666665,6.020504446506336,-0.027172057518566106,-0.009631726500221628,23.99,12.26,14.552369263301435,28.294777230547215,5.88012,-1.3421494799425893,-0.5343631538082927,-1
2011-01-03,5.83585,5.8737,5.79953,5.82745,44657,40,48778000000,5.9510104,6.09511,5.957413244232372,6.024300004257221,5.895202650657618,5.937144499025949,5.947352499999999,6.063044318531149,5.83166068146885,5.840140479034486,5.931709166666667,6.023277854298848,-0.03301690322548634,-0.01430876184527457,30.75,25.56,9.407312503692678,18.31271811251744,5.8012,0.45249258774047174,-1.3421494799425893,1
2011-01-04,5.83116,5.8777,5.8049,5.85794,56279,40,64486500000,5.952261200000001,6.094251450000001,5.9535123326938475,6.0226446808317755,5.8877501205260945,5.92994409002359,5.9403045,6.059692061073357,5.820916938926643,5.82811796222961,5.9214375,6.014757037770389,-0.034787686577342214,-0.018404546791688098,37.97,38.98,13.563052299036096,12.507578022010085,5.82745,0.5232134123845045,0.45249258774047174,1
